"name","region","selected","shared name","weeks_since_100_cases"
"AFG","Asia","false","AFG","10"
"AZE","Asia","false","AZE","9"
"AUT","Europe","false","AUT","7"
"IND","Asia","false","IND","8"
"AUS","Oceania","false","AUS","7"
"BHR","Asia","false","BHR","7"
"BGD","Asia","false","BGD","11"
"BEL","Europe","false","BEL","6"
"BTN","Asia","false","BTN","142"
"MMR","Asia","false","MMR","13"
"CHN","Asia","false","CHN","0"
"EGY","Africa","false","EGY","8"
"ETH","Africa","false","ETH","13"
"FIN","Europe","false","FIN","7"
"FRA","Europe","false","FRA","6"
"DEU","Europe","false","DEU","6"
"HKG","","false","HKG","142"
"IRN","Asia","false","IRN","5"
"ARM","Asia","false","ARM","8"
"BLR","Europe","false","BLR","10"
"KWT","Asia","false","KWT","8"
"IRQ","Asia","false","IRQ","8"
"ITA","Europe","false","ITA","5"
"JOR","Asia","false","JOR","9"
"PAK","","false","PAK","8"
"CAN","Americas","false","CAN","7"
"DNK","Europe","false","DNK","7"
"MYS","Asia","false","MYS","7"
"NPL","","false","NPL","15"
"NOR","Europe","false","NOR","7"
"OMN","Asia","false","OMN","9"
"TJK","Asia","false","TJK","15"
"KAZ","Asia","false","KAZ","9"
"KGZ","Asia","false","KGZ","10"
"RUS","Europe","false","RUS","8"
"TUR","","false","TUR","8"
"ALB","Europe","false","ALB","9"
"DZA","Africa","false","DZA","9"
"BIH","Europe","false","BIH","9"
"BRA","Americas","false","BRA","8"
"BGR","Europe","false","BGR","8"
"CMR","Africa","false","CMR","10"
"COD","Africa","false","COD","10"
"HRV","Europe","false","HRV","8"
"CYP","Asia","false","CYP","9"
"CZE","Europe","false","CZE","7"
"DJI","Africa","false","DJI","11"
"EST","Europe","false","EST","8"
"GEO","Asia","false","GEO","10"
"GHA","Africa","false","GHA","9"
"GRC","Europe","false","GRC","7"
"HUN","Europe","false","HUN","9"
"IRL","Europe","false","IRL","8"
"ISR","Asia","false","ISR","8"
"JPN","Asia","false","JPN","5"
"KEN","Africa","false","KEN","10"
"LVA","Europe","false","LVA","9"
"LBN","","false","LBN","8"
"LBY","Africa","false","LBY","18"
"LTU","Europe","false","LTU","9"
"LUX","","false","LUX","8"
"MKD","Europe","false","MKD","9"
"MDV","Asia","false","MDV","13"
"MLT","Europe","false","MLT","9"
"MDA","Europe","false","MDA","9"
"MNE","Europe","false","MNE","10"
"MAR","Africa","false","MAR","9"
"NLD","","false","NLD","7"
"NGA","","false","NGA","10"
"POL","Europe","false","POL","8"
"PRT","Europe","false","PRT","8"
"QAT","Asia","false","QAT","7"
"ROU","Europe","false","ROU","8"
"RWA","Africa","false","RWA","11"
"SAU","Asia","false","SAU","8"
"SRB","","false","SRB","8"
"SGP","Asia","false","SGP","6"
"SVN","","false","SVN","8"
"ZAF","Africa","false","ZAF","8"
"KOR","","false","KOR","4"
"ESP","","false","ESP","6"
"SDN","","false","SDN","13"
"SWE","","false","SWE","7"
"CHE","","false","CHE","7"
"TZA","Africa","false","TZA","13"
"THA","","false","THA","8"
"TUN","","false","TUN","9"
"ARE","","false","ARE","8"
"AGO","Africa","false","AGO","20"
"BRN","Asia","false","BRN","9"
"IDN","Asia","false","IDN","8"
"MUS","Africa","false","MUS","10"
"PHL","Asia","false","PHL","8"
"SEN","","false","SEN","9"
"SYC","Africa","false","SYC","142"
"SOM","","false","SOM","13"
"SSD","Africa","false","SSD","16"
"LKA","Asia","false","LKA","9"
"TKM","Asia","false","TKM","142"
"UGA","","false","UGA","15"
"UKR","","false","UKR","9"
"ARG","Americas","false","ARG","8"
"CPV","Africa","false","CPV","14"
"COL","Americas","false","COL","8"
"CUB","Americas","false","CUB","10"
"DOM","Americas","false","DOM","9"
"GBR","","false","GBR","6"
"ATG","Americas","false","ATG","142"
"BHS","Americas","false","BHS","18"
"BRB","Americas","false","BRB","25"
"BMU","Americas","false","BMU","14"
"GGY","Europe","false","GGY","11"
"ISL","Europe","false","ISL","7"
"JAM","Americas","false","JAM","12"
"JEY","Europe","false","JEY","11"
"MEX","Americas","false","MEX","8"
"LCA","Americas","false","LCA","142"
"SLE","","false","SLE","14"
"SVK","Europe","false","SVK","8"
"TTO","Americas","false","TTO","11"
"LBR","Africa","false","LBR","13"
"BFA","Africa","false","BFA","9"
"BEN","Africa","false","BEN","15"
"ABW","Americas","false","ABW","15"
"KHM","Asia","false","KHM","10"
"CIV","Africa","false","CIV","10"
"TCD","Africa","false","TCD","15"
"CHL","Americas","false","CHL","8"
"COG","Africa","false","COG","12"
"MLI","Africa","false","MLI","12"
"GIN","Africa","false","GIN","11"
"GNQ","Africa","false","GNQ","14"
"GAB","","false","GAB","13"
"GMB","Africa","false","GMB","142"
"GNB","Africa","false","GNB","14"
"MRT","Africa","false","MRT","17"
"NER","Africa","false","NER","11"
"MOZ","Africa","false","MOZ","16"
"MNG","Asia","false","MNG","17"
"ERI","Africa","false","ERI","21"
"BOL","Americas","false","BOL","10"
"CRI","Americas","false","CRI","9"
"ECU","Americas","false","ECU","8"
"SLV","Americas","false","SLV","11"
"PAN","","false","PAN","8"
"PER","","false","PER","8"
"USA","","false","USA","6"
"BLZ","Americas","false","BLZ","142"
"CYM","Americas","false","CYM","17"
"FJI","Oceania","false","FJI","142"
"GRD","Americas","false","GRD","142"
"GLP","Americas","false","GLP","142"
"GUM","Oceania","false","GUM","11"
"GTM","Americas","false","GTM","11"
"GUY","Americas","false","GUY","16"
"HTI","Americas","false","HTI","15"
"HND","Americas","false","HND","10"
"MTQ","Americas","false","MTQ","142"
"NZL","Oceania","false","NZL","9"
"NIC","","false","NIC","18"
"PRY","","false","PRY","11"
"PRI","","false","PRI","10"
"TWN","Asia","false","TWN","8"
"BWA","Africa","false","BWA","23"
"BDI","Africa","false","BDI","21"
"COM","Africa","false","COM","19"
"NAM","Africa","false","NAM","23"
"ZMB","Africa","false","ZMB","14"
"STP","Africa","false","STP","15"
"MDG","Africa","false","MDG","12"
"MWI","Africa","false","MWI","18"
"ZWE","","false","ZWE","18"
"AIA","Americas","false","AIA","142"
"VGB","Americas","false","VGB","142"
"DMA","Americas","false","DMA","142"
"KNA","","false","KNA","142"
"URY","","false","URY","9"
"VEN","Americas","false","VEN","9"
"SUR","","false","SUR","20"
"GUF","Americas","false","GUF","142"
"TLS","Asia","false","TLS","142"
"LAO","Asia","false","LAO","142"
"MAC","","false","MAC","142"
"NCL","Oceania","false","NCL","142"
"NFK","Oceania","false","NFK","142"
"PNG","Oceania","false","PNG","142"
"PLW","Oceania","false","PLW","142"
"WSM","","false","WSM","142"
"SLB","","false","SLB","142"
"TON","Oceania","false","TON","142"
"VUT","Oceania","false","VUT","142"
"VNM","","false","VNM","9"
"UZB","","false","UZB","10"
"TCA","Americas","false","TCA","142"
"YEM","","false","YEM","17"
"TGO","","false","TGO","14"
"CAF","Africa","false","CAF","16"
"SPM","Americas","false","SPM","142"
"PRK","Asia","false","PRK","142"
"MNP","","false","MNP","142"
"MYT","Africa","false","MYT","142"
"REU","Africa","false","REU","142"
"FRO","Europe","false","FRO","9"
"GRL","Americas","false","GRL","142"
"KIR","Oceania","false","KIR","142"
"FSM","Oceania","false","FSM","142"
"IMN","Europe","false","IMN","11"
"ESH","","false","ESH","23"
