interaction,name
interacts with,AntiguaandBarbuda (interacts with) SaintKittsandNevis
interacts with,SaintPierreandMiquelon (interacts with) Canada
interacts with,SaintLucia (interacts with) Barbados
interacts with,Barbados (interacts with) Grenada
interacts with,Martinique (interacts with) SaintLucia
interacts with,Anguilla (interacts with) AntiguaandBarbuda
interacts with,Anguilla (interacts with) SaintKittsandNevis
interacts with,Nauru (interacts with) MarshallIslands
interacts with,Nauru (interacts with) Micronesia
interacts with,Nauru (interacts with) SolomonIslands
interacts with,Montserrat (interacts with) Guadeloupe
interacts with,Montserrat (interacts with) AntiguaandBarbuda
interacts with,Montserrat (interacts with) SaintKittsandNevis
interacts with,UnitedStatesVirginIslands (interacts with) Anguilla
interacts with,UnitedStatesVirginIslands (interacts with) BritishVirginIslands
interacts with,UnitedStatesVirginIslands (interacts with) PuertoRico
interacts with,CaymanIslands (interacts with) Jamaica
interacts with,Jamaica (interacts with) Haiti
interacts with,Jamaica (interacts with) Cuba
interacts with,SãoToméandPríncipe (interacts with) EquatorialGuinea
interacts with,SãoToméandPríncipe (interacts with) Gabon
interacts with,BritishVirginIslands (interacts with) Anguilla
interacts with,BritishVirginIslands (interacts with) PuertoRico
interacts with,TurksandCaicosIslands (interacts with) Cuba
interacts with,TurksandCaicosIslands (interacts with) Haiti
interacts with,PuertoRico (interacts with) DominicanRepublic
interacts with,Bahamas (interacts with) TurksandCaicosIslands
interacts with,Bahamas (interacts with) Cuba
interacts with,Bahamas (interacts with) UnitedStates
interacts with,Cuba (interacts with) CaymanIslands
interacts with,Cuba (interacts with) Mexico
interacts with,Cuba (interacts with) UnitedStates
interacts with,Bermuda (interacts with) UnitedStates
interacts with,Zimbabwe (interacts with) Zambia
interacts with,Zimbabwe (interacts with) SouthAfrica
interacts with,Zimbabwe (interacts with) Mozambique
interacts with,Zimbabwe (interacts with) Botswana
interacts with,Zambia (interacts with) Zimbabwe
interacts with,Zambia (interacts with) Tanzania
interacts with,Zambia (interacts with) Namibia
interacts with,Zambia (interacts with) Mozambique
interacts with,Zambia (interacts with) Malawi
interacts with,Zambia (interacts with) DemocraticRepublicCongo
interacts with,Zambia (interacts with) Botswana
interacts with,Zambia (interacts with) Angola
interacts with,Yemen (interacts with) SaudiArabia
interacts with,Yemen (interacts with) Oman
interacts with,WesternSahara (interacts with) Morocco
interacts with,WesternSahara (interacts with) Mauritania
interacts with,WesternSahara (interacts with) Algeria
interacts with,WestBank (interacts with) Jordan
interacts with,WestBank (interacts with) Israel
interacts with,WallisandFutunaIslands (interacts with) Tuvalu
interacts with,WallisandFutunaIslands (interacts with) Samoa
interacts with,Vietnam (interacts with) Laos
interacts with,Vietnam (interacts with) China
interacts with,Vietnam (interacts with) Cambodia
interacts with,Venezuela (interacts with) Curacao
interacts with,Venezuela (interacts with) Aruba
interacts with,Venezuela (interacts with) TrinidadandTobago
interacts with,Venezuela (interacts with) Grenada
interacts with,Venezuela (interacts with) Guyana
interacts with,Venezuela (interacts with) Colombia
interacts with,Venezuela (interacts with) Brazil
interacts with,VaticanCity (interacts with) Italy
interacts with,Uzbekistan (interacts with) Turkmenistan
interacts with,Uzbekistan (interacts with) Tajikistan
interacts with,Uzbekistan (interacts with) Kyrgyzstan
interacts with,Uzbekistan (interacts with) Kazakhstan
interacts with,Uzbekistan (interacts with) Afghanistan
interacts with,Uruguay (interacts with) Brazil
interacts with,Uruguay (interacts with) Argentina
interacts with,UnitedArabEmirates (interacts with) SaudiArabia
interacts with,UnitedArabEmirates (interacts with) Oman
interacts with,Ukraine (interacts with) Slovakia
interacts with,Ukraine (interacts with) Russia
interacts with,Ukraine (interacts with) Romania
interacts with,Ukraine (interacts with) Poland
interacts with,Ukraine (interacts with) Moldova
interacts with,Ukraine (interacts with) Hungary
interacts with,Ukraine (interacts with) Belarus
interacts with,Uganda (interacts with) Tanzania
interacts with,Uganda (interacts with) SouthSudan
interacts with,Uganda (interacts with) Rwanda
interacts with,Uganda (interacts with) Kenya
interacts with,Uganda (interacts with) DemocraticRepublicCongo
interacts with,Turkmenistan (interacts with) Uzbekistan
interacts with,Turkmenistan (interacts with) Kazakhstan
interacts with,Turkmenistan (interacts with) Iran
interacts with,Turkmenistan (interacts with) Afghanistan
interacts with,Turkey (interacts with) Syria
interacts with,Turkey (interacts with) Iraq
interacts with,Turkey (interacts with) Iran
interacts with,Turkey (interacts with) Greece
interacts with,Turkey (interacts with) Georgia
interacts with,Turkey (interacts with) Bulgaria
interacts with,Turkey (interacts with) Azerbaijan
interacts with,Turkey (interacts with) Armenia
interacts with,Tunisia (interacts with) Malta
interacts with,Tunisia (interacts with) Italy
interacts with,Tunisia (interacts with) Libya
interacts with,Tunisia (interacts with) Algeria
interacts with,Tonga (interacts with) AmericanSamoa
interacts with,Tonga (interacts with) Niue
interacts with,Tonga (interacts with) Fiji
interacts with,Tokelau (interacts with) MarshallIslands
interacts with,Tokelau (interacts with) Kiribati
interacts with,Tokelau (interacts with) Samoa
interacts with,Tokelau (interacts with) AmericanSamoa
interacts with,Togo (interacts with) Ghana
interacts with,Togo (interacts with) BurkinaFaso
interacts with,Togo (interacts with) Benin
interacts with,Thailand (interacts with) Myanmar
interacts with,Thailand (interacts with) Malaysia
interacts with,Thailand (interacts with) Laos
interacts with,Thailand (interacts with) Cambodia
interacts with,Tanzania (interacts with) Zambia
interacts with,Tanzania (interacts with) Uganda
interacts with,Tanzania (interacts with) Rwanda
interacts with,Tanzania (interacts with) Mozambique
interacts with,Tanzania (interacts with) Malawi
interacts with,Tanzania (interacts with) Kenya
interacts with,Tanzania (interacts with) DemocraticRepublicCongo
interacts with,Tanzania (interacts with) Burundi
interacts with,Tajikistan (interacts with) Uzbekistan
interacts with,Tajikistan (interacts with) Kyrgyzstan
interacts with,Tajikistan (interacts with) China
interacts with,Tajikistan (interacts with) Afghanistan
interacts with,Taiwan (interacts with) China
interacts with,Taiwan (interacts with) Philippines
interacts with,Syria (interacts with) Turkey
interacts with,Syria (interacts with) Lebanon
interacts with,Syria (interacts with) Jordan
interacts with,Syria (interacts with) Israel
interacts with,Syria (interacts with) Iraq
interacts with,Switzerland (interacts with) Liechtenstein
interacts with,Switzerland (interacts with) Italy
interacts with,Switzerland (interacts with) Germany
interacts with,Switzerland (interacts with) France
interacts with,Switzerland (interacts with) Austria
interacts with,Sweden (interacts with) Norway
interacts with,Sweden (interacts with) Finland
interacts with,Swaziland (interacts with) SouthAfrica
interacts with,Swaziland (interacts with) Mozambique
interacts with,Svalbard (interacts with) Greenland
interacts with,Suriname (interacts with) Guyana
interacts with,Suriname (interacts with) FrenchGuiana
interacts with,Suriname (interacts with) Brazil
interacts with,Sudan (interacts with) SouthSudan
interacts with,Sudan (interacts with) Libya
interacts with,Sudan (interacts with) Ethiopia
interacts with,Sudan (interacts with) Eritrea
interacts with,Sudan (interacts with) Egypt
interacts with,Sudan (interacts with) Chad
interacts with,Sudan (interacts with) CentralAfricanRepublic
interacts with,SriLanka (interacts with) Maldives
interacts with,SriLanka (interacts with) India
interacts with,SouthSudan (interacts with) Uganda
interacts with,SouthSudan (interacts with) Sudan
interacts with,SouthSudan (interacts with) Kenya
interacts with,SouthSudan (interacts with) Ethiopia
interacts with,SouthSudan (interacts with) Eritrea
interacts with,SouthSudan (interacts with) DemocraticRepublicCongo
interacts with,SouthSudan (interacts with) CentralAfricanRepublic
interacts with,SouthKorea (interacts with) Japan
interacts with,SouthKorea (interacts with) NorthKorea
interacts with,Somalia (interacts with) Kenya
interacts with,Somalia (interacts with) Ethiopia
interacts with,Somalia (interacts with) Djibouti
interacts with,SolomonIslands (interacts with) Australia
interacts with,SolomonIslands (interacts with) NewCaledonia
interacts with,SolomonIslands (interacts with) Vanuatu
interacts with,Slovenia (interacts with) Italy
interacts with,Slovenia (interacts with) Hungary
interacts with,Slovenia (interacts with) Croatia
interacts with,Slovenia (interacts with) Austria
interacts with,Slovakia (interacts with) Ukraine
interacts with,Slovakia (interacts with) Poland
interacts with,Slovakia (interacts with) Hungary
interacts with,Slovakia (interacts with) CzechRepublic
interacts with,Slovakia (interacts with) Austria
interacts with,SintMaarten (interacts with) Guadeloupe
interacts with,Singapore (interacts with) Indonesia
interacts with,SierraLeone (interacts with) Liberia
interacts with,SierraLeone (interacts with) Guinea
interacts with,Seychelles (interacts with) Madagascar
interacts with,Seychelles (interacts with) Somalia
interacts with,Serbia (interacts with) Romania
interacts with,Serbia (interacts with) Montenegro
interacts with,Serbia (interacts with) Macedonia
interacts with,Serbia (interacts with) Kosovo
interacts with,Serbia (interacts with) Hungary
interacts with,Serbia (interacts with) Croatia
interacts with,Serbia (interacts with) Bulgaria
interacts with,Serbia (interacts with) BosniaHerzegovina
interacts with,SanMarino (interacts with) Italy
interacts with,Samoa (interacts with) Tuvalu
interacts with,SaintVincentandtheGrenadines (interacts with) Grenada
interacts with,SaintVincentandtheGrenadines (interacts with) Barbados
interacts with,SaintVincentandtheGrenadines (interacts with) SaintLucia
interacts with,SaintHelena (interacts with) Angola
interacts with,Rwanda (interacts with) Uganda
interacts with,Rwanda (interacts with) Tanzania
interacts with,Rwanda (interacts with) DemocraticRepublicCongo
interacts with,Rwanda (interacts with) Burundi
interacts with,Russia (interacts with) Japan
interacts with,Russia (interacts with) UnitedStates
interacts with,Russia (interacts with) Ukraine
interacts with,Russia (interacts with) Poland
interacts with,Russia (interacts with) Norway
interacts with,Russia (interacts with) NorthKorea
interacts with,Russia (interacts with) Mongolia
interacts with,Russia (interacts with) Lithuania
interacts with,Russia (interacts with) Latvia
interacts with,Russia (interacts with) Kazakhstan
interacts with,Russia (interacts with) Georgia
interacts with,Russia (interacts with) Finland
interacts with,Russia (interacts with) Estonia
interacts with,Russia (interacts with) China
interacts with,Russia (interacts with) Belarus
interacts with,Russia (interacts with) Azerbaijan
interacts with,RepublicCongo (interacts with) Gabon
interacts with,RepublicCongo (interacts with) DemocraticRepublicCongo
interacts with,RepublicCongo (interacts with) CentralAfricanRepublic
interacts with,RepublicCongo (interacts with) Cameroon
interacts with,RepublicCongo (interacts with) Angola
interacts with,Qatar (interacts with) Bahrain
interacts with,Qatar (interacts with) SaudiArabia
interacts with,Portugal (interacts with) Spain
interacts with,Poland (interacts with) Ukraine
interacts with,Poland (interacts with) Slovakia
interacts with,Poland (interacts with) Russia
interacts with,Poland (interacts with) Lithuania
interacts with,Poland (interacts with) Germany
interacts with,Poland (interacts with) CzechRepublic
interacts with,Poland (interacts with) Belarus
interacts with,PitcairnIslands (interacts with) FrenchPolynesia
interacts with,Philippines (interacts with) Indonesia
interacts with,Peru (interacts with) Ecuador
interacts with,Peru (interacts with) Colombia
interacts with,Peru (interacts with) Chile
interacts with,Peru (interacts with) Brazil
interacts with,Peru (interacts with) Bolivia
interacts with,Paraguay (interacts with) Brazil
interacts with,Paraguay (interacts with) Bolivia
interacts with,Paraguay (interacts with) Argentina
interacts with,PapuaNewGuinea (interacts with) Australia
interacts with,PapuaNewGuinea (interacts with) SolomonIslands
interacts with,PapuaNewGuinea (interacts with) Indonesia
interacts with,Panama (interacts with) CostaRica
interacts with,Panama (interacts with) Colombia
interacts with,Palau (interacts with) Guam
interacts with,Palau (interacts with) Micronesia
interacts with,Palau (interacts with) Philippines
interacts with,Pakistan (interacts with) Iran
interacts with,Pakistan (interacts with) India
interacts with,Pakistan (interacts with) China
interacts with,Pakistan (interacts with) Afghanistan
interacts with,SaudiArabia (interacts with) Bahrain
interacts with,SaudiArabia (interacts with) Yemen
interacts with,SaudiArabia (interacts with) UnitedArabEmirates
interacts with,SaudiArabia (interacts with) Qatar
interacts with,SaudiArabia (interacts with) Oman
interacts with,SaudiArabia (interacts with) Kuwait
interacts with,SaudiArabia (interacts with) Jordan
interacts with,SaudiArabia (interacts with) Iraq
interacts with,Oman (interacts with) Yemen
interacts with,Oman (interacts with) UnitedArabEmirates
interacts with,Oman (interacts with) SaudiArabia
interacts with,NorthKorea (interacts with) SouthKorea
interacts with,NorthKorea (interacts with) Russia
interacts with,NorthKorea (interacts with) China
interacts with,NorthernMarianaIslands (interacts with) Guam
interacts with,NorfolkIsland (interacts with) NewZealand
interacts with,Nigeria (interacts with) Niger
interacts with,Nigeria (interacts with) Chad
interacts with,Nigeria (interacts with) Cameroon
interacts with,Nigeria (interacts with) Benin
interacts with,Niger (interacts with) Nigeria
interacts with,Niger (interacts with) Mali
interacts with,Niger (interacts with) Libya
interacts with,Niger (interacts with) Chad
interacts with,Niger (interacts with) BurkinaFaso
interacts with,Niger (interacts with) Benin
interacts with,Niger (interacts with) Algeria
interacts with,NewZealand (interacts with) Australia
interacts with,NewCaledonia (interacts with) Australia
interacts with,NewCaledonia (interacts with) Vanuatu
interacts with,Netherlands (interacts with) Germany
interacts with,Netherlands (interacts with) Belgium
interacts with,Nepal (interacts with) India
interacts with,Nepal (interacts with) China
interacts with,Myanmar (interacts with) Thailand
interacts with,Myanmar (interacts with) Laos
interacts with,Myanmar (interacts with) India
interacts with,Myanmar (interacts with) China
interacts with,Myanmar (interacts with) Bangladesh
interacts with,Morocco (interacts with) WesternSahara
interacts with,Morocco (interacts with) Spain
interacts with,Morocco (interacts with) Algeria
interacts with,Montenegro (interacts with) Serbia
interacts with,Montenegro (interacts with) Kosovo
interacts with,Montenegro (interacts with) Croatia
interacts with,Montenegro (interacts with) BosniaHerzegovina
interacts with,Montenegro (interacts with) Albania
interacts with,Mongolia (interacts with) Russia
interacts with,Mongolia (interacts with) China
interacts with,Monaco (interacts with) France
interacts with,Romania (interacts with) Ukraine
interacts with,Romania (interacts with) Serbia
interacts with,Romania (interacts with) Moldova
interacts with,Romania (interacts with) Hungary
interacts with,Romania (interacts with) Bulgaria
interacts with,Moldova (interacts with) Ukraine
interacts with,Moldova (interacts with) Romania
interacts with,Micronesia (interacts with) Guam
interacts with,Micronesia (interacts with) MarshallIslands
interacts with,Mexico (interacts with) UnitedStates
interacts with,Mexico (interacts with) Guatemala
interacts with,Mexico (interacts with) Belize
interacts with,Mauritius (interacts with) Réunion
interacts with,Mauritius (interacts with) Madagascar
interacts with,Mauritania (interacts with) WesternSahara
interacts with,Mauritania (interacts with) Senegal
interacts with,Mauritania (interacts with) Mali
interacts with,Mauritania (interacts with) Algeria
interacts with,Mali (interacts with) Senegal
interacts with,Mali (interacts with) Niger
interacts with,Mali (interacts with) Mauritania
interacts with,Mali (interacts with) IvoryCoast
interacts with,Mali (interacts with) Guinea
interacts with,Mali (interacts with) BurkinaFaso
interacts with,Mali (interacts with) Algeria
interacts with,Mozambique (interacts with) Mayotte
interacts with,Mozambique (interacts with) Comoros
interacts with,Mozambique (interacts with) Madagascar
interacts with,Mozambique (interacts with) Zimbabwe
interacts with,Mozambique (interacts with) Zambia
interacts with,Mozambique (interacts with) Tanzania
interacts with,Mozambique (interacts with) Swaziland
interacts with,Mozambique (interacts with) SouthAfrica
interacts with,Mozambique (interacts with) Malawi
interacts with,Malawi (interacts with) Zambia
interacts with,Malawi (interacts with) Tanzania
interacts with,Malawi (interacts with) Mozambique
interacts with,Madagascar (interacts with) Mayotte
interacts with,Madagascar (interacts with) Comoros
interacts with,Madagascar (interacts with) Réunion
interacts with,Macedonia (interacts with) Serbia
interacts with,Macedonia (interacts with) Kosovo
interacts with,Macedonia (interacts with) Greece
interacts with,Macedonia (interacts with) Bulgaria
interacts with,Macedonia (interacts with) Albania
interacts with,Macau (interacts with) China
interacts with,Luxembourg (interacts with) Germany
interacts with,Luxembourg (interacts with) France
interacts with,Luxembourg (interacts with) Belgium
interacts with,Lithuania (interacts with) Russia
interacts with,Lithuania (interacts with) Poland
interacts with,Lithuania (interacts with) Latvia
interacts with,Lithuania (interacts with) Belarus
interacts with,Liechtenstein (interacts with) Switzerland
interacts with,Liechtenstein (interacts with) Austria
interacts with,Liberia (interacts with) SierraLeone
interacts with,Liberia (interacts with) IvoryCoast
interacts with,Liberia (interacts with) Guinea
interacts with,SouthAfrica (interacts with) Zimbabwe
interacts with,SouthAfrica (interacts with) Swaziland
interacts with,SouthAfrica (interacts with) Namibia
interacts with,SouthAfrica (interacts with) Mozambique
interacts with,SouthAfrica (interacts with) Lesotho
interacts with,SouthAfrica (interacts with) Botswana
interacts with,Lesotho (interacts with) SouthAfrica
interacts with,Lebanon (interacts with) Syria
interacts with,Lebanon (interacts with) Israel
interacts with,Kyrgyzstan (interacts with) Uzbekistan
interacts with,Kyrgyzstan (interacts with) Tajikistan
interacts with,Kyrgyzstan (interacts with) Kazakhstan
interacts with,Kyrgyzstan (interacts with) China
interacts with,Kuwait (interacts with) SaudiArabia
interacts with,Kuwait (interacts with) Iraq
interacts with,Kosovo (interacts with) Serbia
interacts with,Kosovo (interacts with) Montenegro
interacts with,Kosovo (interacts with) Macedonia
interacts with,Kosovo (interacts with) Albania
interacts with,Kiribati (interacts with) MarshallIslands
interacts with,Kenya (interacts with) Uganda
interacts with,Kenya (interacts with) Tanzania
interacts with,Kenya (interacts with) SouthSudan
interacts with,Kenya (interacts with) Somalia
interacts with,Kenya (interacts with) Ethiopia
