,src,trg,iso_code_src,region,iso_code_trg,days_to_first_100_cases,weeks_since_100_cases
0,Afghanistan,China,AFG,Asia,CHN,1.0,0
1,Bhutan,China,BTN,Asia,CHN,1.0,0
2,Hong Kong,China,HKG,Asia,CHN,1.0,0
3,India,China,IND,Asia,CHN,1.0,0
4,Kazakhstan,China,KAZ,Asia,CHN,1.0,0
5,Korea (Democratic People's Republic of),China,PRK,Asia,CHN,1.0,0
6,Kyrgyzstan,China,KGZ,Asia,CHN,1.0,0
7,Lao People's Democratic Republic,China,LAO,Asia,CHN,1.0,0
8,Macao,China,MAC,Asia,CHN,1.0,0
9,Mongolia,China,MNG,Asia,CHN,1.0,0
10,Myanmar,China,MMR,Asia,CHN,1.0,0
11,Nepal,China,NPL,Asia,CHN,1.0,0
12,Pakistan,China,PAK,Asia,CHN,1.0,0
13,Russian Federation,China,RUS,Europe,CHN,1.0,0
14,Taiwan,China,TWN,Asia,CHN,1.0,0
15,Tajikistan,China,TJK,Asia,CHN,1.0,0
16,Viet Nam,China,VNM,Asia,CHN,1.0,0
17,Afghanistan,Iran (Islamic Republic of),AFG,Asia,IRN,40.0,5
18,Armenia,Iran (Islamic Republic of),ARM,Asia,IRN,40.0,5
19,Azerbaijan,Iran (Islamic Republic of),AZE,Asia,IRN,40.0,5
20,Iraq,Iran (Islamic Republic of),IRQ,Asia,IRN,40.0,5
21,Pakistan,Iran (Islamic Republic of),PAK,Asia,IRN,40.0,5
22,Turkey,Iran (Islamic Republic of),TUR,Asia,IRN,40.0,5
23,Turkmenistan,Iran (Islamic Republic of),TKM,Asia,IRN,40.0,5
24,Afghanistan,Pakistan,AFG,Asia,PAK,59.0,8
25,China,Pakistan,CHN,Asia,PAK,59.0,8
26,India,Pakistan,IND,Asia,PAK,59.0,8
27,Iran (Islamic Republic of),Pakistan,IRN,Asia,PAK,59.0,8
28,Afghanistan,Tajikistan,AFG,Asia,TJK,108.0,15
29,China,Tajikistan,CHN,Asia,TJK,108.0,15
30,Kyrgyzstan,Tajikistan,KGZ,Asia,TJK,108.0,15
31,Uzbekistan,Tajikistan,UZB,Asia,TJK,108.0,15
32,Afghanistan,Uzbekistan,AFG,Asia,UZB,70.0,10
33,Kazakhstan,Uzbekistan,KAZ,Asia,UZB,70.0,10
34,Kyrgyzstan,Uzbekistan,KGZ,Asia,UZB,70.0,10
35,Tajikistan,Uzbekistan,TJK,Asia,UZB,70.0,10
36,Turkmenistan,Uzbekistan,TKM,Asia,UZB,70.0,10
37,Albania,Greece,ALB,Europe,GRC,55.0,7
38,Bulgaria,Greece,BGR,Europe,GRC,55.0,7
39,Cyprus,Greece,CYP,Asia,GRC,55.0,7
40,North Macedonia,Greece,MKD,Europe,GRC,55.0,7
41,Turkey,Greece,TUR,Asia,GRC,55.0,7
42,Albania,Montenegro,ALB,Europe,MNE,74.0,10
43,Bosnia and Herzegovina,Montenegro,BIH,Europe,MNE,74.0,10
44,Croatia,Montenegro,HRV,Europe,MNE,74.0,10
45,Serbia,Montenegro,SRB,Europe,MNE,74.0,10
46,Albania,North Macedonia,ALB,Europe,MKD,65.0,9
47,Bulgaria,North Macedonia,BGR,Europe,MKD,65.0,9
48,Greece,North Macedonia,GRC,Europe,MKD,65.0,9
49,Serbia,North Macedonia,SRB,Europe,MKD,65.0,9
50,Algeria,Libya,DZA,Africa,LBY,132.0,18
51,Chad,Libya,TCD,Africa,LBY,132.0,18
52,Egypt,Libya,EGY,Africa,LBY,132.0,18
53,Niger,Libya,NER,Africa,LBY,132.0,18
54,Sudan,Libya,SDN,Africa,LBY,132.0,18
55,Tunisia,Libya,TUN,Africa,LBY,132.0,18
56,Algeria,Mali,DZA,Africa,MLI,85.0,12
57,Burkina Faso,Mali,BFA,Africa,MLI,85.0,12
58,Côte d'Ivoire,Mali,CIV,Africa,MLI,85.0,12
59,Guinea,Mali,GIN,Africa,MLI,85.0,12
60,Mauritania,Mali,MRT,Africa,MLI,85.0,12
61,Niger,Mali,NER,Africa,MLI,85.0,12
62,Senegal,Mali,SEN,Africa,MLI,85.0,12
63,Algeria,Mauritania,DZA,Africa,MRT,124.0,17
64,Cabo Verde,Mauritania,CPV,Africa,MRT,124.0,17
65,Mali,Mauritania,MLI,Africa,MRT,124.0,17
66,Senegal,Mauritania,SEN,Africa,MRT,124.0,17
67,Western Sahara,Mauritania,ESH,Africa,MRT,124.0,17
68,Algeria,Morocco,DZA,Africa,MAR,65.0,9
69,Spain,Morocco,ESP,Europe,MAR,65.0,9
70,Western Sahara,Morocco,ESH,Africa,MAR,65.0,9
71,Algeria,Niger,DZA,Africa,NER,78.0,11
72,Benin,Niger,BEN,Africa,NER,78.0,11
73,Burkina Faso,Niger,BFA,Africa,NER,78.0,11
74,Chad,Niger,TCD,Africa,NER,78.0,11
75,Libya,Niger,LBY,Africa,NER,78.0,11
76,Mali,Niger,MLI,Africa,NER,78.0,11
77,Nigeria,Niger,NGA,Africa,NER,78.0,11
78,Algeria,Tunisia,DZA,Africa,TUN,67.0,9
79,Libya,Tunisia,LBY,Africa,TUN,67.0,9
80,Malta,Tunisia,MLT,Europe,TUN,67.0,9
81,Algeria,Western Sahara,DZA,Africa,ESH,162.0,23
82,Mauritania,Western Sahara,MRT,Africa,ESH,162.0,23
83,Morocco,Western Sahara,MAR,Africa,ESH,162.0,23
84,Angola,Congo,AGO,Africa,COG,89.0,12
85,Cameroon,Congo,CMR,Africa,COG,89.0,12
86,Central African Republic,Congo,CAF,Africa,COG,89.0,12
87,"Congo, Democratic Republic of the",Congo,COD,Africa,COG,89.0,12
88,Gabon,Congo,GAB,Africa,COG,89.0,12
89,Angola,"Congo, Democratic Republic of the",AGO,Africa,COD,75.0,10
90,Burundi,"Congo, Democratic Republic of the",BDI,Africa,COD,75.0,10
91,Central African Republic,"Congo, Democratic Republic of the",CAF,Africa,COD,75.0,10
92,Congo,"Congo, Democratic Republic of the",COG,Africa,COD,75.0,10
93,Rwanda,"Congo, Democratic Republic of the",RWA,Africa,COD,75.0,10
94,South Sudan,"Congo, Democratic Republic of the",SSD,Africa,COD,75.0,10
95,"Tanzania, United Republic of","Congo, Democratic Republic of the",TZA,Africa,COD,75.0,10
96,Uganda,"Congo, Democratic Republic of the",UGA,Africa,COD,75.0,10
97,Zambia,"Congo, Democratic Republic of the",ZMB,Africa,COD,75.0,10
98,Angola,Namibia,AGO,Africa,NAM,161.0,23
99,Botswana,Namibia,BWA,Africa,NAM,161.0,23
100,South Africa,Namibia,ZAF,Africa,NAM,161.0,23
101,Zambia,Namibia,ZMB,Africa,NAM,161.0,23
102,Angola,Zambia,AGO,Africa,ZMB,104.0,14
103,Botswana,Zambia,BWA,Africa,ZMB,104.0,14
104,"Congo, Democratic Republic of the",Zambia,COD,Africa,ZMB,104.0,14
105,Malawi,Zambia,MWI,Africa,ZMB,104.0,14
106,Mozambique,Zambia,MOZ,Africa,ZMB,104.0,14
107,Namibia,Zambia,NAM,Africa,ZMB,104.0,14
108,"Tanzania, United Republic of",Zambia,TZA,Africa,ZMB,104.0,14
109,Zimbabwe,Zambia,ZWE,Africa,ZMB,104.0,14
110,Argentina,Bolivia,ARG,Americas,BOL,73.0,10
111,Brazil,Bolivia,BRA,Americas,BOL,73.0,10
112,Chile,Bolivia,CHL,Americas,BOL,73.0,10
113,Paraguay,Bolivia,PRY,Americas,BOL,73.0,10
114,Peru,Bolivia,PER,Americas,BOL,73.0,10
115,Argentina,Brazil,ARG,Americas,BRA,57.0,8
116,Bolivia,Brazil,BOL,Americas,BRA,57.0,8
117,Colombia,Brazil,COL,Americas,BRA,57.0,8
118,French Guiana,Brazil,GUF,Americas,BRA,57.0,8
119,Guyana,Brazil,GUY,Americas,BRA,57.0,8
120,Paraguay,Brazil,PRY,Americas,BRA,57.0,8
121,Peru,Brazil,PER,Americas,BRA,57.0,8
122,Suriname,Brazil,SUR,Americas,BRA,57.0,8
123,Uruguay,Brazil,URY,Americas,BRA,57.0,8
124,Venezuela (Bolivarian Republic of),Brazil,VEN,Americas,BRA,57.0,8
125,Argentina,Chile,ARG,Americas,CHL,59.0,8
126,Bolivia,Chile,BOL,Americas,CHL,59.0,8
127,Peru,Chile,PER,Americas,CHL,59.0,8
128,Argentina,Paraguay,ARG,Americas,PRY,78.0,11
129,Bolivia,Paraguay,BOL,Americas,PRY,78.0,11
130,Brazil,Paraguay,BRA,Americas,PRY,78.0,11
131,Argentina,Uruguay,ARG,Americas,URY,63.0,9
132,Brazil,Uruguay,BRA,Americas,URY,63.0,9
133,Armenia,Azerbaijan,ARM,Asia,AZE,69.0,9
134,Georgia,Azerbaijan,GEO,Asia,AZE,69.0,9
135,Iran (Islamic Republic of),Azerbaijan,IRN,Asia,AZE,69.0,9
136,Russian Federation,Azerbaijan,RUS,Europe,AZE,69.0,9
137,Turkey,Azerbaijan,TUR,Asia,AZE,69.0,9
138,Armenia,Georgia,ARM,Asia,GEO,74.0,10
139,Azerbaijan,Georgia,AZE,Asia,GEO,74.0,10
140,Russian Federation,Georgia,RUS,Europe,GEO,74.0,10
141,Turkey,Georgia,TUR,Asia,GEO,74.0,10
142,Armenia,Turkey,ARM,Asia,TUR,61.0,8
143,Azerbaijan,Turkey,AZE,Asia,TUR,61.0,8
144,Bulgaria,Turkey,BGR,Europe,TUR,61.0,8
145,Cyprus,Turkey,CYP,Asia,TUR,61.0,8
146,Georgia,Turkey,GEO,Asia,TUR,61.0,8
147,Greece,Turkey,GRC,Europe,TUR,61.0,8
148,Iran (Islamic Republic of),Turkey,IRN,Asia,TUR,61.0,8
149,Iraq,Turkey,IRQ,Asia,TUR,61.0,8
150,Aruba,Venezuela (Bolivarian Republic of),ABW,Americas,VEN,68.0,9
151,Brazil,Venezuela (Bolivarian Republic of),BRA,Americas,VEN,68.0,9
152,Colombia,Venezuela (Bolivarian Republic of),COL,Americas,VEN,68.0,9
153,Guyana,Venezuela (Bolivarian Republic of),GUY,Americas,VEN,68.0,9
154,Trinidad and Tobago,Venezuela (Bolivarian Republic of),TTO,Americas,VEN,68.0,9
155,Australia,Indonesia,AUS,Oceania,IDN,58.0,8
156,Christmas Island,Indonesia,CXR,Oceania,IDN,58.0,8
157,Cocos (Keeling) Islands,Indonesia,CCK,Oceania,IDN,58.0,8
158,East Timor,Indonesia,TLS,Asia,IDN,58.0,8
159,Malaysia,Indonesia,MYS,Asia,IDN,58.0,8
160,Palau,Indonesia,PLW,Oceania,IDN,58.0,8
161,Papua New Guinea,Indonesia,PNG,Oceania,IDN,58.0,8
162,Philippines,Indonesia,PHL,Asia,IDN,58.0,8
163,Singapore,Indonesia,SGP,Asia,IDN,58.0,8
164,Sri Lanka,Indonesia,LKA,Asia,IDN,58.0,8
165,Austria,Czechia,AUT,Europe,CZE,55.0,7
166,Germany,Czechia,DEU,Europe,CZE,55.0,7
167,Poland,Czechia,POL,Europe,CZE,55.0,7
168,Slovakia,Czechia,SVK,Europe,CZE,55.0,7
169,Austria,Germany,AUT,Europe,DEU,43.0,6
170,Belgium,Germany,BEL,Europe,DEU,43.0,6
171,Czechia,Germany,CZE,Europe,DEU,43.0,6
172,Denmark,Germany,DNK,Europe,DEU,43.0,6
173,France,Germany,FRA,Europe,DEU,43.0,6
174,Luxembourg,Germany,LUX,Europe,DEU,43.0,6
175,Netherlands,Germany,NLD,Europe,DEU,43.0,6
176,Poland,Germany,POL,Europe,DEU,43.0,6
177,Switzerland,Germany,CHE,Europe,DEU,43.0,6
178,Austria,Hungary,AUT,Europe,HUN,63.0,9
179,Croatia,Hungary,HRV,Europe,HUN,63.0,9
180,Romania,Hungary,ROU,Europe,HUN,63.0,9
181,Serbia,Hungary,SRB,Europe,HUN,63.0,9
182,Slovakia,Hungary,SVK,Europe,HUN,63.0,9
183,Slovenia,Hungary,SVN,Europe,HUN,63.0,9
184,Ukraine,Hungary,UKR,Europe,HUN,63.0,9
185,Austria,Italy,AUT,Europe,ITA,37.0,5
186,France,Italy,FRA,Europe,ITA,37.0,5
187,Malta,Italy,MLT,Europe,ITA,37.0,5
188,Slovenia,Italy,SVN,Europe,ITA,37.0,5
189,Switzerland,Italy,CHE,Europe,ITA,37.0,5
190,Austria,Slovakia,AUT,Europe,SVK,61.0,8
191,Czechia,Slovakia,CZE,Europe,SVK,61.0,8
192,Hungary,Slovakia,HUN,Europe,SVK,61.0,8
193,Poland,Slovakia,POL,Europe,SVK,61.0,8
194,Ukraine,Slovakia,UKR,Europe,SVK,61.0,8
195,Austria,Slovenia,AUT,Europe,SVN,56.0,8
196,Croatia,Slovenia,HRV,Europe,SVN,56.0,8
197,Hungary,Slovenia,HUN,Europe,SVN,56.0,8
198,Italy,Slovenia,ITA,Europe,SVN,56.0,8
199,Austria,Switzerland,AUT,Europe,CHE,49.0,7
200,France,Switzerland,FRA,Europe,CHE,49.0,7
201,Germany,Switzerland,DEU,Europe,CHE,49.0,7
202,Italy,Switzerland,ITA,Europe,CHE,49.0,7
203,Azerbaijan,Armenia,AZE,Asia,ARM,61.0,8
204,Iran (Islamic Republic of),Armenia,IRN,Asia,ARM,61.0,8
205,Turkey,Armenia,TUR,Asia,ARM,61.0,8
206,Azerbaijan,Russian Federation,AZE,Asia,RUS,60.0,8
207,Belarus,Russian Federation,BLR,Europe,RUS,60.0,8
208,China,Russian Federation,CHN,Asia,RUS,60.0,8
209,Estonia,Russian Federation,EST,Europe,RUS,60.0,8
210,Finland,Russian Federation,FIN,Europe,RUS,60.0,8
211,Georgia,Russian Federation,GEO,Asia,RUS,60.0,8
212,Kazakhstan,Russian Federation,KAZ,Asia,RUS,60.0,8
213,Korea (Democratic People's Republic of),Russian Federation,PRK,Asia,RUS,60.0,8
214,Latvia,Russian Federation,LVA,Europe,RUS,60.0,8
215,Lithuania,Russian Federation,LTU,Europe,RUS,60.0,8
216,Mongolia,Russian Federation,MNG,Asia,RUS,60.0,8
217,Norway,Russian Federation,NOR,Europe,RUS,60.0,8
218,Poland,Russian Federation,POL,Europe,RUS,60.0,8
219,Ukraine,Russian Federation,UKR,Europe,RUS,60.0,8
220,Bahamas,United States of America,BHS,Americas,USA,45.0,6
221,Bermuda,United States of America,BMU,Americas,USA,45.0,6
222,Canada,United States of America,CAN,Americas,USA,45.0,6
223,Cuba,United States of America,CUB,Americas,USA,45.0,6
224,Kiribati,United States of America,KIR,Oceania,USA,45.0,6
225,Mexico,United States of America,MEX,Americas,USA,45.0,6
226,Bahrain,Qatar,BHR,Asia,QAT,54.0,7
227,Saudi Arabia,Qatar,SAU,Asia,QAT,54.0,7
228,Bahrain,Saudi Arabia,BHR,Asia,SAU,58.0,8
229,Iraq,Saudi Arabia,IRQ,Asia,SAU,58.0,8
230,Jordan,Saudi Arabia,JOR,Asia,SAU,58.0,8
231,Kuwait,Saudi Arabia,KWT,Asia,SAU,58.0,8
232,Oman,Saudi Arabia,OMN,Asia,SAU,58.0,8
233,Qatar,Saudi Arabia,QAT,Asia,SAU,58.0,8
234,United Arab Emirates,Saudi Arabia,ARE,Asia,SAU,58.0,8
235,Yemen,Saudi Arabia,YEM,Asia,SAU,58.0,8
236,Bangladesh,India,BGD,Asia,IND,59.0,8
237,Bhutan,India,BTN,Asia,IND,59.0,8
238,China,India,CHN,Asia,IND,59.0,8
239,Myanmar,India,MMR,Asia,IND,59.0,8
240,Nepal,India,NPL,Asia,IND,59.0,8
241,Pakistan,India,PAK,Asia,IND,59.0,8
242,Sri Lanka,India,LKA,Asia,IND,59.0,8
243,Bangladesh,Myanmar,BGD,Asia,MMR,92.0,13
244,China,Myanmar,CHN,Asia,MMR,92.0,13
245,India,Myanmar,IND,Asia,MMR,92.0,13
246,Lao People's Democratic Republic,Myanmar,LAO,Asia,MMR,92.0,13
247,Thailand,Myanmar,THA,Asia,MMR,92.0,13
248,Belarus,Latvia,BLR,Europe,LVA,63.0,9
249,Estonia,Latvia,EST,Europe,LVA,63.0,9
250,Lithuania,Latvia,LTU,Europe,LVA,63.0,9
251,Russian Federation,Latvia,RUS,Europe,LVA,63.0,9
252,Belarus,Lithuania,BLR,Europe,LTU,64.0,9
253,Latvia,Lithuania,LVA,Europe,LTU,64.0,9
254,Poland,Lithuania,POL,Europe,LTU,64.0,9
255,Russian Federation,Lithuania,RUS,Europe,LTU,64.0,9
256,Belarus,Poland,BLR,Europe,POL,57.0,8
257,Czechia,Poland,CZE,Europe,POL,57.0,8
258,Germany,Poland,DEU,Europe,POL,57.0,8
259,Lithuania,Poland,LTU,Europe,POL,57.0,8
260,Russian Federation,Poland,RUS,Europe,POL,57.0,8
261,Slovakia,Poland,SVK,Europe,POL,57.0,8
262,Ukraine,Poland,UKR,Europe,POL,57.0,8
263,Belarus,Ukraine,BLR,Europe,UKR,68.0,9
264,Hungary,Ukraine,HUN,Europe,UKR,68.0,9
265,"Moldova, Republic of",Ukraine,MDA,Europe,UKR,68.0,9
266,Poland,Ukraine,POL,Europe,UKR,68.0,9
267,Romania,Ukraine,ROU,Europe,UKR,68.0,9
268,Russian Federation,Ukraine,RUS,Europe,UKR,68.0,9
269,Slovakia,Ukraine,SVK,Europe,UKR,68.0,9
270,Belgium,France,BEL,Europe,FRA,44.0,6
271,Germany,France,DEU,Europe,FRA,44.0,6
272,Guernsey,France,GGY,Europe,FRA,44.0,6
273,Italy,France,ITA,Europe,FRA,44.0,6
274,Jersey,France,JEY,Europe,FRA,44.0,6
275,Luxembourg,France,LUX,Europe,FRA,44.0,6
276,Spain,France,ESP,Europe,FRA,44.0,6
277,Switzerland,France,CHE,Europe,FRA,44.0,6
278,Belgium,Luxembourg,BEL,Europe,LUX,60.0,8
279,France,Luxembourg,FRA,Europe,LUX,60.0,8
280,Germany,Luxembourg,DEU,Europe,LUX,60.0,8
281,Belgium,Netherlands,BEL,Europe,NLD,49.0,7
282,Germany,Netherlands,DEU,Europe,NLD,49.0,7
283,Belize,Guatemala,BLZ,Americas,GTM,83.0,11
284,El Salvador,Guatemala,SLV,Americas,GTM,83.0,11
285,Honduras,Guatemala,HND,Americas,GTM,83.0,11
286,Mexico,Guatemala,MEX,Americas,GTM,83.0,11
287,Belize,Mexico,BLZ,Americas,MEX,61.0,8
288,Cuba,Mexico,CUB,Americas,MEX,61.0,8
289,Guatemala,Mexico,GTM,Americas,MEX,61.0,8
290,United States of America,Mexico,USA,Americas,MEX,61.0,8
291,Benin,Burkina Faso,BEN,Africa,BFA,68.0,9
292,Côte d'Ivoire,Burkina Faso,CIV,Africa,BFA,68.0,9
293,Ghana,Burkina Faso,GHA,Africa,BFA,68.0,9
294,Mali,Burkina Faso,MLI,Africa,BFA,68.0,9
295,Niger,Burkina Faso,NER,Africa,BFA,68.0,9
296,Togo,Burkina Faso,TGO,Africa,BFA,68.0,9
297,Benin,Nigeria,BEN,Africa,NGA,73.0,10
298,Cameroon,Nigeria,CMR,Africa,NGA,73.0,10
299,Chad,Nigeria,TCD,Africa,NGA,73.0,10
300,Niger,Nigeria,NER,Africa,NGA,73.0,10
301,Benin,Togo,BEN,Africa,TGO,103.0,14
302,Burkina Faso,Togo,BFA,Africa,TGO,103.0,14
303,Ghana,Togo,GHA,Africa,TGO,103.0,14
304,Bolivia,Argentina,BOL,Americas,ARG,62.0,8
305,Brazil,Argentina,BRA,Americas,ARG,62.0,8
306,Chile,Argentina,CHL,Americas,ARG,62.0,8
307,Falkland Islands (Malvinas),Argentina,FLK,Americas,ARG,62.0,8
308,Paraguay,Argentina,PRY,Americas,ARG,62.0,8
309,Uruguay,Argentina,URY,Americas,ARG,62.0,8
310,Bolivia,Peru,BOL,Americas,PER,60.0,8
311,Brazil,Peru,BRA,Americas,PER,60.0,8
312,Chile,Peru,CHL,Americas,PER,60.0,8
313,Colombia,Peru,COL,Americas,PER,60.0,8
314,Ecuador,Peru,ECU,Americas,PER,60.0,8
315,Bosnia and Herzegovina,Croatia,BIH,Europe,HRV,62.0,8
316,Hungary,Croatia,HUN,Europe,HRV,62.0,8
317,Montenegro,Croatia,MNE,Europe,HRV,62.0,8
318,Serbia,Croatia,SRB,Europe,HRV,62.0,8
319,Slovenia,Croatia,SVN,Europe,HRV,62.0,8
320,Bosnia and Herzegovina,Serbia,BIH,Europe,SRB,62.0,8
321,Bulgaria,Serbia,BGR,Europe,SRB,62.0,8
322,Croatia,Serbia,HRV,Europe,SRB,62.0,8
323,Hungary,Serbia,HUN,Europe,SRB,62.0,8
324,Montenegro,Serbia,MNE,Europe,SRB,62.0,8
325,North Macedonia,Serbia,MKD,Europe,SRB,62.0,8
326,Romania,Serbia,ROU,Europe,SRB,62.0,8
327,Botswana,South Africa,BWA,Africa,ZAF,61.0,8
328,Lesotho,South Africa,LSO,Africa,ZAF,61.0,8
329,Mozambique,South Africa,MOZ,Africa,ZAF,61.0,8
330,Namibia,South Africa,NAM,Africa,ZAF,61.0,8
331,Swaziland,South Africa,SWZ,Africa,ZAF,61.0,8
332,Zimbabwe,South Africa,ZWE,Africa,ZAF,61.0,8
